season,horizon_months,group,players,players_with_future_value,mean_current_value,mean_model_value,mean_gap,median_gap,mean_future_change,median_future_change,mean_future_change_pct,median_future_change_pct,share_future_value_up,share_future_value_down
2019,6,all_eligible,319,318,21466352.201257862,25215310.655588664,3748958.454330807,2173520.8665245427,-1535534.5911949684,-1500000.0,-0.09955237762100698,-0.14285714285714285,0.2138364779874214,0.6415094339622641
2019,6,top_20_undervalued,20,20,43100000.0,75688369.80715294,32588369.807152938,30565843.221321143,-11100000.0,-10000000.0,-0.30910374146422237,-0.31666666666666665,0.0,0.85
2019,6,top_20_recruitment_undervalued,20,20,35950000.0,57635696.03667754,21685696.036677532,18654316.1506536,-1200000.0,0.0,-0.03056591014349635,0.0,0.3,0.35
2019,6,top_20_young_known_value_undervalued,20,20,41050000.0,63344088.96717782,22294088.967177827,19197517.30547142,-2050000.0,0.0,-0.0616738646889509,0.0,0.3,0.4
2019,6,top_20_overvalued,20,20,45850000.0,27985891.269174337,-17864108.730825666,-16255764.235807195,3650000.0,5000000.0,0.12616251803751805,0.1111111111111111,0.65,0.25
2019,6,middle_remainder,279,278,18155755.395683452,21384832.97464263,3229077.5789591772,2173520.8665245427,-1220503.597122302,-1400000.0,-0.10071522163649689,-0.15192307692307694,0.19784172661870503,0.6546762589928058
2019,12,all_eligible,319,262,20919847.328244276,25369045.210803572,4449197.882559292,2351280.588925036,-3460305.3435114506,-2500000.0,-0.22995568179108636,-0.29705882352941176,0.16030534351145037,0.7595419847328244
2019,12,top_20_undervalued,20,17,47117647.058823526,80220373.35154174,33102726.292718213,31131686.442642286,-16117647.05882353,-13000000.0,-0.3978790138902768,-0.45,0.0,0.8823529411764706
2019,12,top_20_recruitment_undervalued,20,16,38562500.0,60745456.5270623,22182956.527062286,19197517.30547142,-3312500.0,-1000000.0,-0.08059183512847307,-0.025,0.1875,0.5
2019,12,top_20_young_known_value_undervalued,20,17,43588235.294117644,65866712.108408056,22278476.814290423,19356362.743437015,-3058823.529411765,-2000000.0,-0.07401290365032759,-0.05,0.23529411764705882,0.5294117647058824
2019,12,top_20_overvalued,20,11,44636363.63636363,26636581.493687306,-17999782.14267634,-16582445.11575742,8000000.0,5000000.0,0.2633668940487122,0.125,0.5454545454545454,0.2727272727272727
2019,12,middle_remainder,279,234,17901709.4017094,21324534.623178482,3422825.221469079,2206927.972218414,-3079487.1794871795,-2500000.0,-0.24094650097293052,-0.30625,0.15384615384615385,0.7735042735042735
2020,6,all_eligible,323,288,24258680.555555556,25625862.440290757,1367181.8847352015,1079997.975034083,-910416.6666666666,-500000.0,-0.07103752613654629,-0.06066176470588235,0.15625,0.5173611111111112
2020,6,top_20_undervalued,20,20,44150000.0,69000825.99921119,24850825.999211177,22876704.83805471,-3050000.0,-2500000.0,-0.1058935574229692,-0.07107843137254902,0.15,0.65
2020,6,top_20_recruitment_undervalued,20,19,22315789.47368421,32293712.169307735,9977922.695623526,8242098.782598481,-1236842.105263158,0.0,0.01685273790536948,0.0,0.15789473684210525,0.3684210526315789
2020,6,top_20_young_known_value_undervalued,20,20,35600000.0,47863182.51818471,12263182.518184703,8921601.48117849,-775000.0,0.0,0.006803751803751807,0.0,0.2,0.35
2020,6,top_20_overvalued,20,20,48850000.0,33377237.043590683,-15472762.956409317,-13468403.124415433,-1350000.0,0.0,-0.03263833676643274,0.0,0.15,0.4
2020,6,middle_remainder,283,248,20671370.967741936,21502770.65301492,831399.685272987,1079997.975034083,-702419.3548387097,-500000.0,-0.07132326469168263,-0.075,0.15725806451612903,0.5161290322580645
2020,12,all_eligible,323,279,23664874.551971328,25013635.562488493,1348761.010517171,1132357.8141464973,-1645161.2903225806,-2000000.0,-0.0916651683770263,-0.13333333333333333,0.22580645161290322,0.6451612903225806
2020,12,top_20_undervalued,20,19,45157894.7368421,69534717.14070053,24376822.40385843,21753409.67610942,-7210526.315789473,-7000000.0,-0.20323529411764704,-0.16666666666666666,0.10526315789473684,0.7368421052631579
2020,12,top_20_recruitment_undervalued,20,15,23000000.0,32843914.664254956,9843914.664254956,8242098.782598481,1000000.0,0.0,0.24420083184789068,0.0,0.4666666666666667,0.3333333333333333
2020,12,top_20_young_known_value_undervalued,20,16,39562500.0,52271364.94441697,12708864.944416968,8921601.48117849,-1250000.0,0.0,0.10837338723368134,0.0,0.4375,0.375
2020,12,top_20_overvalued,20,18,50611111.11111111,34941693.096281156,-15669418.01482995,-13468403.124415433,-2000000.0,-1000000.0,-0.03864436074188396,-0.025,0.2222222222222222,0.5
2020,12,middle_remainder,283,242,19973140.49586777,20779728.18399967,806587.6881318993,1129572.2730847453,-1181818.1818181819,-2000000.0,-0.08684922684132698,-0.1303030303030303,0.23553719008264462,0.6487603305785123
2021,6,all_eligible,333,119,29552941.17647059,30443551.684714206,890610.508243617,0.0,-2401680.6722689075,-4000000.0,-0.025736286008289533,-0.21875,0.29411764705882354,0.680672268907563
2021,6,top_20_undervalued,20,9,44777777.777777776,67107233.092269234,22329455.314491466,21099220.796940424,-12444444.444444444,-10000000.0,-0.3329585537918871,-0.3125,0.0,1.0
2021,6,top_20_recruitment_undervalued,20,10,25600000.0,35337839.631782606,9737839.631782612,8286492.58977248,5800000.0,7500000.0,0.499585137085137,0.3729166666666667,0.6,0.4
2021,6,top_20_young_known_value_undervalued,20,11,38727272.72727273,49421786.06833789,10694513.341065152,9126458.259984765,5727272.7272727275,7000000.0,0.45577087054359783,0.14583333333333334,0.5454545454545454,0.45454545454545453
2021,6,top_20_overvalued,20,11,47090909.09090909,29776213.63997935,-17314695.450929735,-14657521.489375204,-7272727.2727272725,-10000000.0,-0.12769200496473226,-0.2,0.2727272727272727,0.6363636363636364
2021,6,middle_remainder,293,99,26220202.020202022,27184638.410210047,964436.3900080235,126708.91535579413,-947474.7474747475,-3000000.0,0.013521424280329134,-0.2,0.32323232323232326,0.6565656565656566
2021,12,all_eligible,333,291,23957044.67353952,24979409.373447362,1022364.6999078415,1043638.8383646589,-1457560.1374570446,-1800000.0,-0.0690720429027138,-0.18181818181818182,0.28865979381443296,0.6219931271477663
2021,12,top_20_undervalued,20,20,39150000.0,61007243.55693569,21857243.556935698,20187860.24391487,-8625000.0,-7500000.0,-0.2677876984126984,-0.3055555555555556,0.15,0.7
2021,12,top_20_recruitment_undervalued,20,18,30444444.444444444,42524890.693594016,12080446.24914957,11502867.6730333,5000000.0,1500000.0,0.319779341029341,0.06818181818181818,0.5,0.2777777777777778
2021,12,top_20_young_known_value_undervalued,20,19,37631578.94736842,50164898.41010665,12533319.462738233,12525396.375568576,4526315.7894736845,0.0,0.268742660847924,0.0,0.42105263157894735,0.3684210526315789
2021,12,top_20_overvalued,20,20,45550000.0,25900201.42954866,-19649798.57045134,-16041868.953708537,-4100000.0,-3000000.0,-0.0711628349720455,-0.0875,0.35,0.55
2021,12,middle_remainder,293,251,21025896.41434263,22035295.728858545,1009399.3145159149,1043638.8383646589,-675896.4143426295,-1500000.0,-0.05307152915137387,-0.16666666666666666,0.2948207171314741,0.6215139442231076
2022,6,all_eligible,326,109,28394495.412844036,24354175.181176808,-4040320.2316672294,-1598339.070350878,631192.6605504587,-1000000.0,-0.0017148943224368528,-0.1,0.3669724770642202,0.5412844036697247
2022,6,top_20_undervalued,20,5,23400000.0,43779650.92478957,20379650.924789578,16923958.32020294,-2000000.0,-5000000.0,-0.1919080919080919,-0.22727272727272727,0.2,0.6
2022,6,top_20_recruitment_undervalued,20,7,23714285.714285713,33486745.821614116,9772460.107328406,5792866.682931483,142857.14285714287,-1000000.0,0.07397907647907645,-0.0625,0.2857142857142857,0.5714285714285714
2022,6,top_20_young_known_value_undervalued,20,7,23714285.714285713,33486745.821614116,9772460.107328406,5792866.682931483,142857.14285714287,-1000000.0,0.07397907647907645,-0.0625,0.2857142857142857,0.5714285714285714
2022,6,top_20_overvalued,20,8,58125000.0,26948228.041946925,-31176771.958053075,-30725365.950352255,-1875000.0,5000000.0,-0.046367521367521376,0.07179487179487179,0.625,0.375
2022,6,middle_remainder,286,96,26177083.333333332,23126260.5811328,-3050822.752200534,-1355501.9547986565,977083.3333333334,-1000000.0,0.011912053638906385,-0.1125,0.3541666666666667,0.5520833333333334
2022,12,all_eligible,326,62,39693548.38709678,33685621.65910793,-6007926.727988845,-6134114.437723042,-2483870.9677419355,-5000000.0,-0.10245170435111012,-0.21904761904761905,0.3387096774193548,0.6129032258064516
2022,12,top_20_undervalued,20,6,35000000.0,56159172.55341909,21159172.5534191,19447842.17900555,-8833333.333333334,-9000000.0,-0.34188589188589186,-0.4512987012987013,0.16666666666666666,0.8333333333333334
2022,12,top_20_recruitment_undervalued,20,3,33333333.333333332,45982817.10639244,12649483.773059106,3078968.9758985415,-1000000.0,5000000.0,0.011904761904761899,0.2,0.6666666666666666,0.3333333333333333
2022,12,top_20_young_known_value_undervalued,20,3,33333333.333333332,45982817.10639244,12649483.773059106,3078968.9758985415,-1000000.0,5000000.0,0.011904761904761899,0.2,0.6666666666666666,0.3333333333333333
2022,12,top_20_overvalued,20,8,56250000.0,28185606.38363811,-28064393.61636189,-29399840.03560008,-4375000.0,2500000.0,-0.05977564102564103,0.03333333333333333,0.5,0.375
2022,12,middle_remainder,286,48,37520833.333333336,31793097.009897336,-5727736.3234359985,-5751782.274696268,-1375000.0,-5000000.0,-0.07963510813017391,-0.24404761904761904,0.3333333333333333,0.625
2023,6,all_eligible,331,260,30277692.307692308,28073766.288348734,-2203926.0193435783,-534637.5522715682,-352307.6923076923,0.0,-0.014310532675694019,0.0,0.23846153846153847,0.4115384615384615
