feature,importance
minutes_in_top_4_team,0.32453161506202277
pl_total_scoring_att,0.1263334155157222
age_at_season_end,0.06417484546644958
pl_ontarget_scoring_att,0.04473669329871435
age_distance_squared,0.036652947969860405
team_points,0.027959607512621575
team_previous_points,0.02291973714860034
team_goals_for,0.020708422776067187
previous_weighted_minutes,0.018922125764941546
pl_accurate_pass,0.01697878779469331
previous_all_minutes,0.016796983670973993
previous_weighted_goals,0.014775145560091496
previous_weighted_assists,0.01280540302024222
previous_goals,0.012361583270297714
team_goal_difference,0.012044936629512122
pl_touches_per_90,0.010949722296987941
goals,0.010368954884453347
previous_minutes_played,0.00994353503067421
pl_accurate_pass_per_90,0.008887435851319037
team_win_rate,0.008799965659785644
pl_big_chance_created,0.00877198408380925
pl_touches,0.007587650082737787
pl_pass_completion_rate,0.00700758027237043
previous_europe_minutes,0.006177710195948204
team_previous_final_position,0.006087254835039161
previous_all_goals,0.0051331469733508555
pl_total_pass,0.00486578781128593
pl_total_scoring_att_per_90,0.004467666872384491
pl_duel_win_rate,0.004298436657624901
minutes_played,0.0042086197355365815
pl_duel_won,0.004197731811327429
pl_ontarget_scoring_att_per_90,0.004102609464115734
previous_assists,0.004041318311336764
team_points_change,0.0039859325441357635
pl_tackle_success_rate,0.003883551155143806
previous_domestic_league_goals,0.0037893732492450902
previous_domestic_league_minutes,0.003526526364218446
pl_big_chance_created_per_90,0.0034942965042201175
appearances,0.003372457478686945
pl_total_clearance_per_90,0.0032921508826329357
player_minutes_share,0.0032346866711129977
pl_poss_lost_all,0.003184811840590587
previous_all_assists,0.003159374311694413
team_final_position,0.003144428552214737
pl_duel_lost,0.003045191465107724
pl_aerial_lost_per_90,0.002827977506857771
pl_duel_won_per_90,0.002785762615578171
pl_total_tackle_per_90,0.0027059586393521112
pl_big_chance_missed_per_90,0.0026816948807275288
pl_interception_per_90,0.0026689218647767844
pl_poss_lost_all_per_90,0.0026650164751735356
team_goals_against,0.002596924107465158
assists,0.0025835990848465423
minutes_in_title_winning_team,0.0025545539114710247
previous_appearances,0.002482537711675193
pl_aerial_win_rate,0.0024774283905081226
pl_duel_lost_per_90,0.0023413983447662544
pl_cross_completion_rate,0.0021431963554417724
height_in_cm,0.002084981922693591
pl_total_pass_per_90,0.00188973100010241
pl_outfielder_block_per_90,0.0017922328166453754
pl_won_tackle_per_90,0.0017174412534102005
team_position_change,0.0015509927257576707
previous_europe_goals,0.0015505460610045782
yellow_cards,0.0015482570743953086
pl_aerial_won_per_90,0.0015105962237666028
pl_total_tackle,0.0014912164017257684
pl_total_cross_per_90,0.0014884051817715348
pl_total_clearance,0.0013971180869857844
pl_big_chance_missed,0.0013378046091307952
pl_accurate_cross_per_90,0.0012637787066985078
pl_aerial_lost,0.0012583709823515848
pl_interception,0.0012335376017873977
pl_aerial_won,0.0012259311593030707
previous_domestic_league_assists,0.001100089747452056
foot_left,0.0010032462925965583
pl_total_cross,0.0009549888564933316
pl_outfielder_block,0.0008553502380973973
pl_won_tackle,0.000811497349281091
pl_accurate_cross,0.0007635229775405257
previous_europe_assists,0.0006621707833501788
sub_position_Attacking Midfield,0.0006338934060588505
position_Midfield,0.00029178177102130666
foot_right,0.00021389388081593472
pl_error_lead_to_goal,0.0002011750142100071
sub_position_Right Winger,0.00016040516571393023
sub_position_Centre-Forward,0.00012655031289460293
sub_position_Defensive Midfield,0.00011783121782451193
position_Attack,0.00011378514537732176
sub_position_Central Midfield,9.126729931726555e-05
position_Defender,7.944254595156013e-05
sub_position_Left Winger,7.873408853643267e-05
sub_position_Centre-Back,3.5317194913182654e-05
team_won_league,2.8313980223304762e-05
team_relegated,2.778898981960927e-05
team_top_4,2.1773466928913303e-05
sub_position_Right-Back,1.6104659479635032e-05
sub_position_Left-Back,1.5237890792645263e-05
red_cards,1.0956310180593221e-05
foot_both,7.100691389133056e-06
sub_position_Goalkeeper,4.793762486353352e-06
clubs_played_for,4.10923096987827e-06
position_Goalkeeper,8.237242118768688e-07
sub_position_Second Striker,0.0
foot_Unknown,0.0
sub_position_Right Midfield,0.0
sub_position_Left Midfield,0.0
