feature,importance
age_adjusted_goal_involvements,0.3085646772662165
minutes_in_top_4_team,0.23962121237051734
age_at_season_end,0.044131802446137
team_previous_points,0.04339683477217933
age_distance_squared,0.03739031345200665
age_adjusted_minutes,0.020256700634714395
previous_weighted_minutes,0.017723335593275817
previous_all_minutes,0.015447324599704085
team_points,0.015352781227062047
team_previous_final_position,0.014913866944529227
pl_accurate_pass,0.012258261848167461
team_goals_for,0.010471903472538553
pl_accurate_pass_per_90,0.00927287044949324
pl_pass_completion_rate,0.008692010506977023
team_goal_difference,0.008685157997876879
previous_europe_minutes,0.007373216149582447
team_win_rate,0.007343902060892032
previous_minutes_played,0.006931261753216494
pl_ontarget_scoring_att,0.006806425849383171
previous_weighted_goals,0.006541410907259113
pl_total_scoring_att,0.004914973390687378
recent_2yr_goal_involvements,0.004653134941584743
pl_total_pass,0.0043873547721404
best_recent_minutes,0.0037851284577095834
pl_touches_per_90,0.0036633365752826
recent_2yr_minutes,0.0036098870348292046
previous_weighted_assists,0.0035964145540690615
pl_touches,0.003489241316612744
team_points_change,0.0034843056850345647
best_recent_goal_involvements,0.00348303587916436
pl_duel_win_rate,0.0034315552570476403
pl_tackle_success_rate,0.00325243668658193
pl_duel_won,0.00309522012267659
previous_goals,0.0030703696673197054
u23_minutes,0.0030643233834490883
pl_total_scoring_att_per_90,0.002756232994983353
pl_total_clearance_per_90,0.002621350849486642
previous_domestic_league_minutes,0.0026133463783144678
pl_ontarget_scoring_att_per_90,0.0025609051689740227
appearances,0.002311711497793475
previous_all_goals,0.0022627551567747347
recent_3yr_avg_goal_involvements,0.0022183332260124213
pl_total_pass_per_90,0.0022090929743799324
team_goals_against,0.0022063378603307334
pl_duel_won_per_90,0.002192144968088906
goals,0.0021579041866227823
team_final_position,0.0021265124195937665
pl_aerial_win_rate,0.002125083591809868
recent_3yr_goal_involvements,0.0020925432401132813
pl_outfielder_block_per_90,0.0020888377995213906
recent_2yr_assists,0.0020871967319938574
minutes_in_title_winning_team,0.0020648899502007604
recent_3yr_goals,0.00206075848065587
pl_big_chance_missed_per_90,0.0019991927800948332
pl_poss_lost_all,0.0019491523894098872
minutes_drop_from_recent_avg,0.0019460277932397355
pl_aerial_lost_per_90,0.0019317773707575713
pl_total_tackle_per_90,0.0017966754989095942
pl_duel_lost_per_90,0.0017610802899040608
previous_appearances,0.001756672560651554
pl_interception_per_90,0.0017565455339810616
pl_poss_lost_all_per_90,0.001749268880346555
recent_3yr_assists,0.001730172721651243
previous_domestic_league_goals,0.001709827484513512
pl_duel_lost,0.0016384963498556105
pl_cross_completion_rate,0.0016330504795743917
gi_drop_from_recent_avg,0.0015967313691615025
height_in_cm,0.0015948825677320189
previous_all_assists,0.001568741753428632
previous_assists,0.0015376015604008555
pl_won_tackle_per_90,0.0015123460376290604
pl_big_chance_created_per_90,0.0015006035041739316
team_position_change,0.0014865236384614103
recent_2yr_goals,0.00148014071814585
recent_3yr_minutes,0.0013750735614460015
pl_total_clearance,0.0011991219936245323
pl_total_cross_per_90,0.0011984043567594782
pl_aerial_won_per_90,0.0011856098537523759
player_minutes_share,0.001178834214815641
yellow_cards,0.0011726702284743592
pl_aerial_lost,0.0011585846605947049
minutes_played,0.001130958918791069
pl_total_tackle,0.0011143882136341785
previous_europe_goals,0.001107472620152277
pl_big_chance_missed,0.0010397065357509768
recent_3yr_avg_minutes,0.001036523078593428
pl_accurate_cross_per_90,0.001016925891813092
pl_big_chance_created,0.0009875070823632292
current_minutes_vs_recent_3yr_avg,0.000982895793419572
previous_domestic_league_assists,0.0009124738928265429
current_gi_vs_recent_3yr_avg,0.0009076001225704169
pl_aerial_won,0.0008638812662055883
pl_interception,0.0008550466498910334
pl_total_cross,0.0008013859197440777
is_30_plus,0.0007345734212885351
pl_won_tackle,0.0006588599300577071
pl_accurate_cross,0.0006578499162110885
pl_outfielder_block,0.0006266112581829607
assists,0.000557932316137013
sub_position_Attacking Midfield,0.00038748278003515477
position_Midfield,0.0003839231074962093
previous_europe_assists,0.00036318002575584164
u21_minutes,0.00026709620792937265
foot_left,0.00024880818718846286
foot_right,0.00017596827693784934
position_Defender,0.0001554486140148116
sub_position_Right Winger,0.0001461208465574622
is_32_plus,0.0001424068401887793
pl_error_lead_to_goal,0.00011701752764029477
sub_position_Defensive Midfield,0.00010110439577234683
sub_position_Central Midfield,8.858389295947492e-05
position_Attack,7.431778525841348e-05
team_won_league,5.598254208650876e-05
team_relegated,5.318578784349417e-05
sub_position_Left Winger,4.317006444242489e-05
sub_position_Centre-Forward,4.15012708707745e-05
is_u23_high_minutes,3.56542304367456e-05
team_top_4,2.5728961631809147e-05
sub_position_Centre-Back,2.278053916538264e-05
clubs_played_for,1.1575528924635598e-05
older_player_output_spike,1.1385240818208628e-05
is_u23,1.1380108631796783e-05
sub_position_Left-Back,9.032012056625573e-06
sub_position_Right-Back,6.312266372990046e-06
is_u21,4.419309537149706e-06
red_cards,4.23151864170002e-06
foot_both,2.5399152348762586e-06
is_u21_regular,9.87374105927201e-07
sub_position_Goalkeeper,2.5159330659003634e-07
position_Goalkeeper,9.476746651803246e-08
sub_position_Left Midfield,0.0
sub_position_Right Midfield,0.0
low_current_minutes_after_high_recent_minutes,0.0
sub_position_Second Striker,0.0
foot_Unknown,0.0
is_teen_regular,0.0
