feature,importance
recent_2yr_avg_value_m,0.44885574006926404
age_adjusted_goal_involvements,0.12766326514091192
previous_value_band_€20–40m,0.059947449161277665
minutes_in_top_4_team,0.04455007035529788
position_age_adjusted_minutes_percentile,0.038206969715056584
age_at_season_end,0.03096915706661832
age_distance_squared,0.013973420199548852
team_points,0.013904596861431077
previous_value_band_€100m+,0.012541977935199084
age_adjusted_minutes,0.008547786109739008
team_final_position,0.007766034033611697
value_change_last_year_m,0.006960533475730009
gi_drop_from_recent_avg,0.006677097203554742
team_previous_points,0.006528120218300338
previous_value_band_€10–20m,0.006437112446596799
previous_europe_minutes,0.006363465177883282
team_goals_for,0.006223967770187714
pl_accurate_pass,0.005636194060438613
team_goal_difference,0.005407274872178821
team_win_rate,0.004897646421089057
previous_all_minutes,0.004670068948055745
pl_total_scoring_att_per_90,0.0044311126475882895
team_previous_final_position,0.004332066171853223
pl_pass_completion_rate,0.004221116151854249
pl_total_scoring_att,0.0040047183210232045
previous_weighted_goals,0.0036569029736162567
previous_all_goals,0.0036465661065652475
recent_3yr_max_value_m,0.00328819557348006
pl_touches,0.0032365415548429627
minutes_drop_from_recent_avg,0.003220224159420316
recent_3yr_min_value_m,0.0028652512036204153
previous_value_band_€70–100m,0.0027469162610371726
pl_poss_lost_all,0.0027135194283359624
pl_ontarget_scoring_att_per_90,0.0026248186422906834
current_minutes_vs_recent_3yr_avg,0.0024270660471918033
young_goal_involvement_score,0.002325144606833697
u23_position_minutes_percentile,0.002252198889087523
previous_weighted_minutes,0.002213815190155215
team_goals_against,0.002185663223814652
pl_total_pass,0.002169825730416252
pl_duel_won,0.002054409703961111
pl_accurate_pass_per_90,0.00201685730908792
goals,0.0019222449463494047
pl_tackle_success_rate,0.0018487113122102785
pl_duel_win_rate,0.0018164956070769636
pl_touches_per_90,0.001797385104267193
previous_weighted_assists,0.001729634718356908
pl_duel_won_per_90,0.001664349452627494
position_minutes_percentile,0.0016312345258028948
previous_domestic_league_goals,0.0014747568320943511
appearances,0.0014496062255954702
pl_big_chance_missed_per_90,0.0014066903405468782
team_points_change,0.0013870370872281575
previous_domestic_league_minutes,0.0013497014235002768
pl_ontarget_scoring_att,0.0013119700829162877
pl_cross_completion_rate,0.0013068408413907558
pl_poss_lost_all_per_90,0.0012884287035923603
young_shot_score,0.0012663177998671438
previous_domestic_league_assists,0.0012627952918370735
pl_total_pass_per_90,0.0012458858619840525
pl_total_clearance_per_90,0.0012290655492218795
recent_3yr_avg_value_m,0.0012022401341890625
young_touch_score,0.0011917297914815122
previous_value_band_€40–70m,0.0011011257084236595
pl_outfielder_block_per_90,0.0010935097391866868
pl_total_tackle_per_90,0.001090502235229822
previous_europe_goals,0.0010845618317182092
height_in_cm,0.0010780869575021323
current_gi_vs_recent_3yr_avg,0.0010743892632741035
pl_aerial_lost_per_90,0.001067255371773993
previous_all_assists,0.001052079702374942
pl_won_tackle_per_90,0.0010501609821086352
pl_big_chance_created_per_90,0.0010273967753585223
pl_duel_lost,0.0010140769346172161
pl_aerial_win_rate,0.001014025638189104
pl_aerial_won_per_90,0.0009708515840405014
pl_interception_per_90,0.0009682133642896827
pl_duel_lost_per_90,0.0009520778121727272
pl_aerial_lost,0.0008736567182752734
recent_value_range_m,0.0008327760053248695
pl_total_cross_per_90,0.0007828002209357059
pl_total_clearance,0.0006981317759636186
u23_minutes_share_top4,0.0006976410064086681
pl_aerial_won,0.0006911786584192862
pl_accurate_cross_per_90,0.0006786255337725991
has_recent_value_rise,0.0006689638395516868
pl_interception,0.0006520361808520017
yellow_cards,0.0006515081695825586
young_chance_creation_score,0.0006385170846825496
pl_total_cross,0.0006090764368199548
u23_minutes,0.0005979765450587104
recent_3yr_avg_minutes,0.0005959262288716746
pl_total_tackle,0.0005858515765204671
assists,0.0005682047672193163
best_recent_minutes,0.0005618932036624057
team_position_change,0.0005613269078845537
minutes_in_title_winning_team,0.000535708305566521
recent_3yr_minutes,0.0005219776904840594
pl_won_tackle,0.0004984503739533312
previous_appearances,0.0004956548278078423
pl_big_chance_created,0.0004888424929861403
previous_value_band_€5–10m,0.0004546298848780197
young_minutes_score,0.00043277228850462226
player_minutes_share,0.00043110706462277286
pl_big_chance_missed,0.0004247211841559563
recent_2yr_minutes,0.0004087322465129297
minutes_played,0.0004008166867193854
recent_3yr_goals,0.0003946534333398448
best_recent_goal_involvements,0.00037794263921461395
recent_3yr_assists,0.0003515673451471312
pl_accurate_cross,0.0003441497783571611
previous_minutes_played,0.00034315180064230813
u23_title_team_minutes,0.0003205752942681227
recent_3yr_avg_goal_involvements,0.0003155221287606831
u23_top4_minutes,0.0003073225812651379
previous_europe_assists,0.0002772538954516836
is_30_plus,0.0002643766014139211
recent_2yr_assists,0.00026070961846596266
previous_goals,0.0002579786961100885
pl_outfielder_block,0.0002452676982279374
young_age_factor,0.00022399100011494586
recent_3yr_goal_involvements,0.00021774086093084952
