season,player_id,player_name,position,sub_position,age_at_season_end,minutes_played,previous_known_market_value_in_eur,previous_weighted_minutes,previous_weighted_goals,previous_weighted_assists,team_points,team_goal_difference,team_final_position,team_won_league,player_minutes_share,market_value_in_eur,predicted_value,residual,absolute_error,actual_value_m,predicted_value_m,residual_m,absolute_error_m,error_direction,value_band,minutes_band,age_band
2024,610442,Rasmus Højlund,Attack,Centre-Forward,22.302532511978097,2014,65000000.0,2853.5,15.5,2.0,42,-10,15,0,0.5888888888888889,35000000.0,66573272.32732494,-31573272.32732494,31573272.32732494,35.0,66.57327232732494,-31.573272327324943,31.573272327324943,model_too_high,€30–60m,1800+,"[20, 23)"
2024,444523,Lucas Paquetá,Midfield,Attacking Midfield,27.742642026009584,2385,65000000.0,3222.6,7.2,6.5,43,-16,14,0,0.6973684210526315,28000000.0,57975246.391333684,-29975246.391333684,29975246.391333684,28.0,57.975246391333684,-29.975246391333684,29.975246391333684,model_too_high,€15–30m,1800+,"[26, 29)"
2024,294057,James Maddison,Midfield,Attacking Midfield,28.501026694045173,1817,70000000.0,2162.5,4.0,9.0,38,-1,17,0,0.5312865497076024,42000000.0,64522026.20175286,-22522026.201752856,22522026.201752856,42.0,64.52202620175285,-22.522026201752855,22.522026201752855,model_too_high,€30–60m,1800+,"[26, 29)"
2024,614258,Levi Colwill,Defender,Centre-Back,22.24229979466119,3150,50000000.0,1851.0,1.0,1.0,69,21,4,0,0.9210526315789473,55000000.0,76773705.96512097,-21773705.96512097,21773705.96512097,55.0,76.77370596512097,-21.77370596512097,21.77370596512097,model_too_high,€30–60m,1800+,"[20, 23)"
2024,701057,Rico Lewis,Defender,Right-Back,20.50650239561944,1893,38000000.0,1429.9,2.0,3.5,71,28,3,0,0.5535087719298246,40000000.0,59138913.072759606,-19138913.072759606,19138913.072759606,40.0,59.13891307275961,-19.138913072759607,19.138913072759607,model_too_high,€30–60m,1800+,"[20, 23)"
2024,316264,Martin Ødegaard,Midfield,Attacking Midfield,26.43668720054757,2332,110000000.0,3936.0,10.0,11.0,74,35,2,0,0.6818713450292397,85000000.0,103232745.15358385,-18232745.153583854,18232745.153583854,85.0,103.23274515358385,-18.232745153583853,18.232745153583853,model_too_high,€60m+,1800+,"[26, 29)"
2024,620322,Malo Gusto,Defender,Right-Back,22.01779603011636,1858,35000000.0,1961.0,0.0,7.5,69,21,4,0,0.5432748538011696,35000000.0,52955966.320453696,-17955966.320453696,17955966.320453696,35.0,52.9559663204537,-17.955966320453697,17.955966320453697,model_too_high,€30–60m,1800+,"[20, 23)"
2024,324358,Ollie Watkins,Attack,Centre-Forward,29.401779603011637,2610,65000000.0,3364.8,20.2,13.0,66,7,6,0,0.7631578947368421,40000000.0,57435343.93183217,-17435343.931832172,17435343.931832172,40.0,57.43534393183217,-17.435343931832172,17.435343931832172,model_too_high,€30–60m,1800+,"[29, 32)"
2024,648195,Enzo Fernández,Midfield,Central Midfield,24.35044490075291,2949,75000000.0,2438.0,4.0,2.5,69,21,4,0,0.862280701754386,75000000.0,91779229.16455197,-16779229.164551973,16779229.164551973,75.0,91.77922916455198,-16.779229164551975,16.779229164551975,model_too_high,€60m+,1800+,"[23, 26)"
2024,241641,Bernardo Silva,Midfield,Attacking Midfield,30.78986995208761,2668,70000000.0,3433.1,9.4,9.5,71,28,3,0,0.7801169590643274,38000000.0,54429270.14701483,-16429270.147014827,16429270.147014827,38.0,54.429270147014826,-16.429270147014826,16.429270147014826,model_too_high,€30–60m,1800+,"[29, 32)"
2024,743591,Savinho,Attack,Left Winger,21.12251882272416,1772,50000000.0,2947.35,9.35,9.5,71,28,3,0,0.5181286549707602,50000000.0,66089569.8905681,-16089569.8905681,16089569.8905681,50.0,66.0895698905681,-16.0895698905681,16.0895698905681,model_too_high,€30–60m,900–1799,"[20, 23)"
2024,648046,Evan Ferguson,Attack,Centre-Forward,20.5968514715948,388,50000000.0,1604.2,6.0,0.5,61,7,8,0,0.11345029239766082,25000000.0,41078092.954732925,-16078092.954732925,16078092.954732925,25.0,41.078092954732924,-16.078092954732924,16.078092954732924,model_too_high,€15–30m,Under 450,"[20, 23)"
2024,655488,Gabriel Martinelli,Attack,Left Winger,23.93429158110883,2299,70000000.0,2557.0,8.0,5.0,74,35,2,0,0.6722222222222223,55000000.0,70965310.64353532,-15965310.643535316,15965310.643535316,55.0,70.96531064353532,-15.965310643535316,15.965310643535316,model_too_high,€30–60m,1800+,"[23, 26)"
2024,363205,Gabriel Jesus,Attack,Centre-Forward,28.142368240930868,603,65000000.0,1888.0,8.0,8.0,74,35,2,0,0.1763157894736842,32000000.0,47714372.811658,-15714372.811658002,15714372.811658002,32.0,47.714372811658,-15.714372811658002,15.714372811658002,model_too_high,€30–60m,450–899,"[26, 29)"
2024,203460,Jack Grealish,Attack,Left Winger,29.7056810403833,715,60000000.0,1746.7,3.0,3.0,71,28,3,0,0.20906432748538012,28000000.0,43289855.886369556,-15289855.886369556,15289855.886369556,28.0,43.28985588636956,-15.289855886369557,15.289855886369557,model_too_high,€15–30m,450–899,"[29, 32)"
2024,435648,Joshua Zirkzee,Attack,Centre-Forward,24.008213552361397,1394,50000000.0,2563.8,10.3,5.3,42,-10,15,0,0.4076023391812866,30000000.0,45149136.269283056,-15149136.269283056,15149136.269283056,30.0,45.149136269283055,-15.149136269283057,15.149136269283057,model_too_high,€15–30m,900–1799,"[23, 26)"
2024,486049,Jérémy Doku,Attack,Left Winger,22.99520876112252,1514,65000000.0,2115.35,5.85,11.0,71,28,3,0,0.4426900584795322,50000000.0,65124298.31243972,-15124298.312439717,15124298.312439717,50.0,65.12429831243972,-15.124298312439718,15.124298312439718,model_too_high,€30–60m,900–1799,"[20, 23)"
2024,568693,Pape Matar Sarr,Midfield,Central Midfield,22.694045174537987,1914,45000000.0,2085.0,3.0,3.0,38,-1,17,0,0.5596491228070175,32000000.0,46522719.84113537,-14522719.841135368,14522719.841135368,32.0,46.52271984113537,-14.522719841135368,14.522719841135368,model_too_high,€30–60m,1800+,"[20, 23)"
2024,480692,Luis Díaz,Attack,Left Winger,28.361396303901437,2413,75000000.0,3107.1,10.9,5.0,84,45,1,1,0.7055555555555556,70000000.0,84325036.92744815,-14325036.927448153,14325036.927448153,70.0,84.32503692744815,-14.325036927448153,14.325036927448153,model_too_high,€60m+,1800+,"[26, 29)"
2024,520624,Bruno Guimarães,Midfield,Central Midfield,27.520876112251884,3287,85000000.0,4041.5,7.0,9.5,66,21,5,0,0.9611111111111111,80000000.0,94203651.76034318,-14203651.76034318,14203651.76034318,80.0,94.20365176034318,-14.20365176034318,14.20365176034318,model_too_high,€60m+,1800+,"[26, 29)"
2024,341092,Federico Chiesa,Attack,Right Winger,27.581108829568787,104,35000000.0,2107.8,8.5,2.7,84,45,1,1,0.0304093567251462,14000000.0,27899161.835980438,-13899161.835980438,13899161.835980438,14.0,27.899161835980436,-13.899161835980438,13.899161835980438,model_too_high,€5–15m,Under 450,"[26, 29)"
2024,487465,Pedro Neto,Attack,Right Winger,25.21013004791239,2269,55000000.0,1624.0,2.5,10.0,69,21,4,0,0.6634502923976608,50000000.0,63471735.25885713,-13471735.258857131,13471735.258857131,50.0,63.47173525885713,-13.47173525885713,13.47173525885713,model_too_high,€30–60m,1800+,"[23, 26)"
2024,338424,Mikel Merino,Midfield,Central Midfield,28.922655715263517,1581,50000000.0,3185.15,7.1499999999999995,4.25,74,35,2,0,0.46228070175438596,35000000.0,47896600.846506745,-12896600.846506745,12896600.846506745,35.0,47.89660084650674,-12.896600846506745,12.896600846506745,model_too_high,€30–60m,900–1799,"[26, 29)"
2024,134425,Raheem Sterling,Attack,Right Winger,30.46132785763176,496,35000000.0,2155.0,8.5,5.5,74,35,2,0,0.14502923976608187,10000000.0,22398394.185836427,-12398394.185836427,12398394.185836427,10.0,22.398394185836427,-12.398394185836427,12.398394185836427,model_too_high,€5–15m,450–899,"[29, 32)"
2024,504849,Kaoru Mitoma,Attack,Left Winger,28.01368925393566,2609,45000000.0,1900.0,3.0,4.8,61,7,8,0,0.7628654970760234,40000000.0,51660706.7510278,-11660706.7510278,11660706.7510278,40.0,51.6607067510278,-11.6607067510278,11.6607067510278,model_too_high,€30–60m,1800+,"[26, 29)"
2024,811779,Alejandro Garnacho,Attack,Left Winger,20.89801505817933,2196,45000000.0,3147.5,8.5,4.5,42,-10,15,0,0.6421052631578947,45000000.0,56229384.774146035,-11229384.774146035,11229384.774146035,45.0,56.229384774146034,-11.229384774146036,11.229384774146036,model_too_high,€30–60m,1800+,"[20, 23)"
2024,181579,James Ward-Prowse,Midfield,Central Midfield,30.562628336755647,1440,30000000.0,3772.8,7.0,10.2,43,-16,14,0,0.42105263157894735,8000000.0,19163451.95695418,-11163451.956954181,11163451.956954181,8.0,19.16345195695418,-11.163451956954182,11.163451956954182,model_too_high,€5–15m,900–1799,"[29, 32)"
2024,711999,Lesley Ugochukwu,Midfield,Defensive Midfield,21.163586584531146,1663,25000000.0,329.0,0.0,0.0,12,-60,20,0,0.48625730994152044,18000000.0,28926175.028593726,-10926175.028593726,10926175.028593726,18.0,28.926175028593725,-10.926175028593727,10.926175028593727,model_too_high,€15–30m,900–1799,"[20, 23)"
