feature,importance
age_adjusted_goal_involvements,0.04207468137630546
team_goal_difference,0.034840775287881764
team_final_position,0.03276049883552913
recent_2yr_avg_value_m,0.03266908941202241
is_recent_30m_player,0.03198484320962097
team_win_rate,0.03063774471013433
team_points,0.030054439497399364
team_goals_for,0.029898077364008326
recent_3yr_avg_value_m,0.027170978636357628
recent_3yr_max_value_m,0.02675475378934793
pl_total_scoring_att,0.0266961672275354
position_age_adjusted_minutes_percentile,0.02442787285724689
minutes_in_top_4_team,0.022272304016788383
pl_ontarget_scoring_att,0.018651822587943612
goals,0.017480098462243732
recent_3yr_min_value_m,0.01633374803291209
position_minutes_percentile,0.01619603267071101
previous_all_minutes,0.015503129843656815
previous_weighted_minutes,0.015160712136732014
team_previous_final_position,0.014938331503176007
age_adjusted_minutes,0.014167517945966063
player_minutes_share,0.013616574521930134
pl_accurate_pass,0.013597720122657395
team_previous_points,0.013254391609217807
young_shot_score,0.013249209990209409
minutes_played,0.012223124897331315
pl_touches,0.011265500034948518
pl_total_scoring_att_per_90,0.011042848565322094
team_goals_against,0.010736154308000971
young_goal_involvement_score,0.01020603821703377
pl_duel_won,0.01017700767683941
pl_pass_completion_rate,0.009880087905365114
pl_duel_lost,0.00974967804284132
pl_total_pass,0.009735872378123633
young_touch_score,0.009632606775495416
young_minutes_score,0.009156107631297192
pl_ontarget_scoring_att_per_90,0.008654683834769677
pl_accurate_pass_per_90,0.007996302997450192
previous_weighted_goals,0.007938327480671083
pl_poss_lost_all,0.0079334523908419
appearances,0.007099861498158303
previous_all_goals,0.007011480254402819
previous_weighted_assists,0.006828727207506981
previous_domestic_league_minutes,0.006646480033884197
u23_minutes,0.0065299700394184194
team_top_4,0.006370529596523029
pl_total_pass_per_90,0.00618080888045378
age_at_season_end,0.0060983356655549
assists,0.005887019448904489
previous_all_assists,0.005795617078385374
pl_touches_per_90,0.005733808372947829
u23_position_minutes_percentile,0.005642805002655935
pl_big_chance_created,0.005307871648522719
young_chance_creation_score,0.005283366970937317
pl_total_clearance_per_90,0.004602791490969671
pl_big_chance_missed,0.0045197446985050784
is_recent_50m_player,0.00443702036190824
best_recent_goal_involvements,0.004422068529252963
young_age_factor,0.004402557034692288
pl_duel_won_per_90,0.004273284085433395
gi_drop_from_recent_avg,0.004151381516396758
previous_domestic_league_goals,0.004147515100695059
pl_big_chance_missed_per_90,0.003931741802475505
pl_total_tackle,0.0037928256371966567
age_distance_squared,0.00371511902377994
pl_won_tackle,0.003603705843642811
pl_interception_per_90,0.003533647898410457
pl_aerial_lost_per_90,0.003527436985241163
pl_big_chance_created_per_90,0.0034629018664643807
pl_total_cross_per_90,0.0034343099081380044
pl_total_tackle_per_90,0.0034150459967074416
previous_value_band_€40–70m,0.003356766959537137
previous_europe_minutes,0.0033234591866754233
pl_duel_win_rate,0.003297568773761413
pl_won_tackle_per_90,0.0032146349456239173
pl_tackle_success_rate,0.0031980220048703615
pl_poss_lost_all_per_90,0.0031426460488905247
pl_duel_lost_per_90,0.0030129203150509915
pl_total_cross,0.002985095694822487
team_points_change,0.0029447976262553864
recent_value_range_m,0.002883819624281701
pl_aerial_win_rate,0.002877442062309527
yellow_cards,0.002846815872934433
best_recent_minutes,0.002844480096933957
pl_aerial_won_per_90,0.002818824010188558
previous_value_band_€10–20m,0.002801978081956824
current_gi_vs_recent_3yr_avg,0.002675154136073295
pl_aerial_lost,0.002667416544760475
pl_outfielder_block_per_90,0.002655529040358509
current_minutes_vs_recent_3yr_avg,0.0026173178525273426
pl_total_clearance,0.002607118654243562
pl_accurate_cross_per_90,0.002403539424320329
pl_interception,0.002402780833909229
recent_2yr_goal_involvements,0.0023486499258396996
pl_aerial_won,0.0023145615863809916
previous_minutes_played,0.0022608726423351193
recent_3yr_avg_goal_involvements,0.0022251219933951236
recent_peak_value_band_€10–20m,0.00220621211579557
minutes_drop_from_recent_avg,0.0021814351956943446
previous_domestic_league_assists,0.002125575986068183
recent_3yr_goals,0.002030072819665927
value_change_last_year_m,0.0020035996697574127
pl_cross_completion_rate,0.0019215972704651452
height_in_cm,0.0019039836878411306
recent_2yr_goals,0.0018789727969785721
recent_3yr_goal_involvements,0.0016722955022670785
previous_goals,0.0016477436838948684
u21_minutes,0.0016228038480748783
previous_appearances,0.001580940525336148
team_position_change,0.0015541657369221478
recent_3yr_avg_minutes,0.001545909205987374
recent_2yr_minutes,0.0015248148135360213
recent_3yr_assists,0.0015162683099736712
team_relegated,0.001497314091568385
pl_accurate_cross,0.0014907485997167828
pl_outfielder_block,0.0014739409168980544
recent_2yr_assists,0.001445311156199173
recent_3yr_minutes,0.0013226227676504706
previous_assists,0.0013195071953442223
previous_europe_goals,0.0013008246595098529
recent_peak_value_band_€40–70m,0.0012771933784914917
previous_value_band_€20–40m,0.0012194474793194158
u23_minutes_share_top4,0.0009477058624510695
is_u23,0.0009015298958613516
recent_peak_value_band_Unknown,0.0008575262956206768
u23_top4_minutes,0.0008428793486271659
previous_value_band_Unknown,0.0008088000027087539
is_u23_high_minutes,0.0006941827563734149
is_u21_regular,0.0006595031017852058
position_Defender,0.0006307262916919293
u23_midfield,0.000517914656789859
recent_peak_value_band_€20–40m,0.0004846250709156534
has_recent_value_rise,0.00037486997656716953
position_Midfield,0.0003556386937594993
foot_left,0.00033748460293231745
is_u21,0.00027464748197941454
u23_defender,0.00022654990938827184
minutes_in_title_winning_team,0.00020247038611645113
previous_europe_assists,0.00019734973743982867
position_Attack,0.00019630368432382406
u23_defensive_midfield,0.00018464795271326865
sub_position_Centre-Back,0.00017219348331134901
pl_error_lead_to_goal,0.00016482224855209076
foot_right,0.0001474644557744325
is_teen_regular,0.00013344476137334892
sub_position_Central Midfield,9.865215722340058e-05
sub_position_Attacking Midfield,9.828232810807063e-05
sub_position_Left-Back,9.194403282984638e-05
u23_fullback,7.96300970283322e-05
u23_attacking_midfield,7.753045866553013e-05
u23_attack,7.500507115535246e-05
sub_position_Defensive Midfield,7.292781089229507e-05
u23_centre_back,7.045649649273281e-05
recent_peak_value_band_€70–100m,6.828217382573456e-05
sub_position_Right Winger,6.770903502519375e-05
u23_winger,6.531504321291395e-05
previous_value_band_€70–100m,4.204332546233716e-05
u21_top4_minutes,4.0357565120104365e-05
sub_position_Left Winger,3.767267656330007e-05
sub_position_Centre-Forward,3.6460587419434045e-05
sub_position_Right-Back,3.511107890381164e-05
position_Goalkeeper,3.257947706895493e-05
is_u23_recent_40m_player,2.0895512337420978e-05
u23_centre_forward,1.8839385834606578e-05
team_won_league,1.6147923131980965e-05
has_recent_value_drop,1.5146074629751386e-05
clubs_played_for,1.1969615626442268e-05
